time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1577837044.39951897,0.13866277,0.00543943,0.00001803,78480.00000000,0.11717288,0.000000,0.000000
1577837044.49936509,0.13864948,0.00497457,0.00001818,78488.00000000,0.13005387,0.000000,0.000000
1577837044.59960294,0.13864782,0.00483928,0.00001725,78506.00000000,0.13757282,0.000000,0.000000
1577837044.69944024,0.13863210,0.00485778,0.00001710,78525.00000000,0.12842591,0.000000,0.000000
1577837044.79928398,0.13863884,0.00593749,0.00001854,78551.00000000,0.14301915,0.000000,0.000000
1577837044.89992285,0.13864819,0.00439765,0.00001937,78580.00000000,0.14473971,0.000000,0.000000
1577837044.99975610,0.13865378,0.00781117,0.00001901,78605.00000000,0.14229354,0.000000,0.000000
1577837045.09960198,0.13864853,0.00521738,0.00001891,78629.00000000,0.13522121,0.000000,0.000000
1577837045.19945192,0.13865552,0.00445064,0.00001817,78634.00000000,0.14323147,0.000000,0.000000
1577837045.29967308,0.13866932,0.00613391,0.00001819,78673.00000000,0.14770541,0.000000,0.000000
1577837045.39950490,0.13869853,0.00619900,0.00001959,78709.00000000,0.15785799,0.000000,0.000000
1577837045.49933696,0.13876293,0.00855586,0.00001983,78701.00000000,0.18107507,0.000000,0.000000
1577837045.59998107,0.13875848,0.00523011,0.00001735,78738.00000000,0.13583075,0.000000,0.000000
1577837045.69982100,0.13876585,0.00900403,0.00001717,78753.00000000,0.14362697,0.000000,0.000000
1577837045.79965901,0.13883639,0.00874455,0.00002017,78783.00000000,0.18538714,0.000000,0.000000
1577837045.89948392,0.13890230,0.00597795,0.00002127,78820.00000000,0.18247196,0.000000,0.000000
1577837045.99932599,0.13892549,0.00753228,0.00001765,78878.00000000,0.15427384,0.000000,0.000000
1577837046.09997106,0.13894618,0.00684943,0.00001852,78926.00000000,0.15266595,0.000000,0.000000
1577837046.19981313,0.13898958,0.00556621,0.00001873,77935.00000000,0.16780831,0.000000,0.000000
1577837046.29964805,0.13903596,0.00953594,0.00001803,77989.00000000,0.16987857,0.000000,0.000000
1577837046.39949489,0.13908496,0.00661598,0.00002150,78060.00000000,0.17171744,0.000000,0.000000
1577837046.49934101,0.13917480,0.00715345,0.00002127,78118.00000000,0.19910216,0.000000,0.000000
1577837046.59998202,0.13943056,0.01257060,0.00003529,78165.00000000,0.31027580,0.000000,0.000000
1577837046.69981790,0.13944556,0.00624360,0.00001870,78213.00000000,0.14947821,0.000000,0.000000
1577837046.79967308,0.13946287,0.00518580,0.00001840,78266.00000000,0.15106286,0.000000,0.000000
1577837046.89950705,0.13952988,0.00741507,0.00002088,78273.00000000,0.18449530,0.000000,0.000000
1577837046.99934793,0.13959966,0.00894328,0.00002015,78313.00000000,0.18648968,0.000000,0.000000
1577837047.09997892,0.13963494,0.00678471,0.00001939,78351.00000000,0.16337633,0.000000,0.000000
1577837047.19981384,0.13966938,0.01073218,0.00002025,78440.00000000,0.16288485,0.000000,0.000000
1577837047.29967403,0.13968083,0.00610448,0.00001809,78529.00000000,0.14740825,0.000000,0.000000
1577837047.39952588,0.13973574,0.00612228,0.00002054,78627.00000000,0.17685370,0.000000,0.000000
1577837047.49936891,0.13978109,0.00662145,0.00001887,78677.00000000,0.17048724,0.000000,0.000000
1577837047.59998488,0.13981885,0.00511753,0.00001891,78761.00000000,0.16541410,0.000000,0.000000
1577837047.69981909,0.13986165,0.00603828,0.00001927,78812.00000000,0.16892412,0.000000,0.000000
1577837047.79965401,0.13989640,0.01054400,0.00001936,78852.00000000,0.16352657,0.000000,0.000000
1577837047.89948487,0.13994016,0.00528275,0.00001864,78929.00000000,0.16973938,0.000000,0.000000
1577837047.99933314,0.13999983,0.00929126,0.00002228,78948.00000000,0.18069766,0.000000,0.000000
1577837048.09996295,0.14002990,0.00770254,0.00001841,78987.00000000,0.16056701,0.000000,0.000000
1577837048.19980597,0.14012125,0.01539125,0.00002164,79033.00000000,0.20260772,0.000000,0.000000
1577837048.29966211,0.14029164,0.00933071,0.00002522,79071.00000000,0.25700690,0.000000,0.000000
1577837048.39950204,0.14050885,0.01449949,0.00002844,79081.00000000,0.28951594,0.000000,0.000000
1577837048.49934888,0.14073373,0.00653936,0.00002686,79106.00000000,0.29522784,0.000000,0.000000
1577837048.59997892,0.14079941,0.00779801,0.00002374,79160.00000000,0.18598774,0.000000,0.000000
1577837048.69984007,0.14093509,0.00768512,0.00002741,79164.00000000,0.23441216,0.000000,0.000000
1577837048.79967690,0.14097386,0.01008363,0.00002121,79195.00000000,0.16772862,0.000000,0.000000
1577837048.89951110,0.14103424,0.01202552,0.00002067,79233.00000000,0.18275459,0.000000,0.000000
1577837048.99936104,0.14107653,0.00571652,0.00002227,79232.00000000,0.17034629,0.000000,0.000000
1577837049.09960604,0.14111008,0.00777185,0.00002060,79295.00000000,0.16435748,0.000000,0.000000
1577837049.19944596,0.14114575,0.00719007,0.00001863,79318.00000000,0.16589713,0.000000,0.000000
1577837049.29928184,0.14117899,0.00584294,0.00001982,79373.00000000,0.16428408,0.000000,0.000000
1577837049.39991808,0.14130872,0.01365093,0.00002518,79420.00000000,0.23159790,0.000000,0.000000
1577837049.49977398,0.14148184,0.01029103,0.00002826,79405.00000000,0.26215008,0.000000,0.000000
1577837049.59961009,0.14160139,0.00913815,0.00002498,79439.00000000,0.22504657,0.000000,0.000000
1577837049.69945002,0.14170824,0.01186164,0.00002356,79473.00000000,0.21639671,0.000000,0.000000
1577837049.79929709,0.14176764,0.00990178,0.00002081,79453.00000000,0.18334969,0.000000,0.000000
1577837049.89993191,0.14180539,0.01701503,0.00002007,79461.00000000,0.16826232,0.000000,0.000000
1577837049.99976897,0.14183097,0.01236753,0.00001968,79464.00000000,0.15979371,0.000000,0.000000
1577837050.09960389,0.14186187,0.01002428,0.00001846,79444.00000000,0.16358152,0.000000,0.000000
1577837050.19943976,0.14190547,0.00624409,0.00002005,79428.00000000,0.17260046,0.000000,0.000000
1577837050.29929185,0.14195472,0.00778117,0.00002006,79440.00000000,0.17667340,0.000000,0.000000
1577837050.39993405,0.14199615,0.00632549,0.00002062,79439.00000000,0.17124989,0.000000,0.000000
1577837050.49976492,0.14200359,0.00704148,0.00001850,79491.00000000,0.14726170,0.000000,0.000000
1577837050.59960389,0.14203216,0.00843916,0.00001903,79554.00000000,0.16226014,0.000000,0.000000
1577837050.69944715,0.14207039,0.01070847,0.00001865,79610.00000000,0.16917923,0.000000,0.000000
1577837050.79967785,0.14211856,0.00672482,0.00002034,79638.00000000,0.17631524,0.000000,0.000000
1577837050.89951110,0.14213309,0.00881199,0.00001893,79644.00000000,0.15246393,0.000000,0.000000
1577837050.99935794,0.14218864,0.00916589,0.00002065,79704.00000000,0.18174347,0.000000,0.000000
1577837051.09961081,0.14220864,0.00693572,0.00001892,79682.00000000,0.15646359,0.000000,0.000000
1577837051.19945097,0.14225153,0.00663675,0.00001873,79646.00000000,0.17287480,0.000000,0.000000
1577837051.29928493,0.14226236,0.00606275,0.00001883,79699.00000000,0.15001027,0.000000,0.000000
1577837051.39992595,0.14229546,0.00988142,0.00001827,79750.00000000,0.16599615,0.000000,0.000000
1577837051.49976015,0.14234271,0.00821764,0.00001992,79737.00000000,0.17621897,0.000000,0.000000
1577837051.59959102,0.14240711,0.01270160,0.00002004,79758.00000000,0.18864868,0.000000,0.000000
1577837051.69942594,0.14245078,0.00849187,0.00001911,79813.00000000,0.17384519,0.000000,0.000000
1577837051.79966903,0.14247994,0.00712208,0.00001837,79877.00000000,0.16347562,0.000000,0.000000
1577837051.89950418,0.14249657,0.00733208,0.00001842,79918.00000000,0.15448775,0.000000,0.000000
1577837051.99932909,0.14252312,0.00630408,0.00001950,79957.00000000,0.16169413,0.000000,0.000000
1577837052.09997201,0.14256570,0.01041277,0.00001845,79953.00000000,0.17334779,0.000000,0.000000
1577837052.19980383,0.14261739,0.00725411,0.00001951,79995.00000000,0.18004486,0.000000,0.000000
1577837052.29964495,0.14264494,0.00813411,0.00001837,80028.00000000,0.16261676,0.000000,0.000000
1577837052.39948702,0.14266482,0.01409352,0.00001791,80038.00000000,0.15709865,0.000000,0.000000
1577837052.49933481,0.14270302,0.01074102,0.00001818,80076.00000000,0.17047558,0.000000,0.000000
1577837052.59997010,0.14272326,0.01147082,0.00001875,80081.00000000,0.15745236,0.000000,0.000000
1577837052.69982004,0.14277342,0.00777265,0.00001850,79985.00000000,0.17934575,0.000000,0.000000
1577837052.79966688,0.14279448,0.00668944,0.00001805,80014.00000000,0.15816366,0.000000,0.000000
1577837052.89950895,0.14283081,0.00783625,0.00001764,80049.00000000,0.16939173,0.000000,0.000000
1577837052.99935889,0.14284324,0.00568573,0.00001807,80036.00000000,0.15193783,0.000000,0.000000
1577837053.09999800,0.14283941,0.00572434,0.00001711,80043.00000000,0.14003336,0.000000,0.000000
1577837053.19982696,0.14284639,0.00567366,0.00001912,80094.00000000,0.14796944,0.000000,0.000000
1577837053.29965806,0.14285528,0.00582396,0.00001730,80108.00000000,0.14939147,0.000000,0.000000
1577837053.39949894,0.14284361,0.00565756,0.00001672,80160.00000000,0.13425361,0.000000,0.000000
1577837053.49934006,0.14284322,0.00701197,0.00001686,80201.00000000,0.14255870,0.000000,0.000000
1577837053.59997392,0.14285928,0.00610456,0.00001787,80147.00000000,0.15470753,0.000000,0.000000
1577837053.69980383,0.14286937,0.00690317,0.00001677,80182.00000000,0.15032828,0.000000,0.000000
1577837053.79964113,0.14288263,0.00593499,0.00001838,80192.00000000,0.15269639,0.000000,0.000000
1577837053.89948893,0.14287368,0.00565228,0.00001676,80192.00000000,0.13623562,0.000000,0.000000
1577837053.99932289,0.14287261,0.00574489,0.00001728,80217.00000000,0.14207951,0.000000,0.000000
1577837054.09995794,0.14287884,0.00659470,0.00001734,80228.00000000,0.14751149,0.000000,0.000000
1577837054.19978285,0.14289314,0.00623849,0.00001891,80259.00000000,0.15352998,0.000000,0.000000
1577837054.29961896,0.14290120,0.00618849,0.00001788,80255.00000000,0.14890771,0.000000,0.000000
1577837054.39945698,0.14292918,0.00696103,0.00001905,80291.00000000,0.16380152,0.000000,0.000000
1577837054.49929094,0.14293749,0.00556431,0.00001678,80319.00000000,0.14914565,0.000000,0.000000
1577837054.59993386,0.14294578,0.00551971,0.00001844,80347.00000000,0.14914235,0.000000,0.000000
1577837054.69976497,0.14294311,0.00543430,0.00001832,80400.00000000,0.14094779,0.000000,0.000000
1577837054.79960489,0.14292453,0.00608412,0.00001743,80430.00000000,0.12898917,0.000000,0.000000
1577837054.89945507,0.14292363,0.00601561,0.00001772,80453.00000000,0.14224582,0.000000,0.000000
1577837054.99928808,0.14294251,0.00621615,0.00001943,80468.00000000,0.15714238,0.000000,0.000000
1577837055.09991717,0.14295097,0.00554453,0.00001846,80472.00000000,0.14932058,0.000000,0.000000
1577837055.19976592,0.14294854,0.00539673,0.00001795,80489.00000000,0.14111349,0.000000,0.000000
1577837055.29958987,0.14295223,0.00604994,0.00001775,80530.00000000,0.14573830,0.000000,0.000000
1577837055.39942980,0.14293933,0.00585194,0.00001668,80571.00000000,0.13319061,0.000000,0.000000
1577837055.49927998,0.14292621,0.00784498,0.00001680,80604.00000000,0.13299650,0.000000,0.000000
1577837055.59992194,0.14292250,0.00672298,0.00001852,80664.00000000,0.14010894,0.000000,0.000000
